split,method,rank,queries,query_fraction,anchors,interpolation_one_norm,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
development,anchor_gated_residual,1,1,0.00390625,83,0.0,0.05044038221629749,0.10995470040486525,0.016034563378976522,0.31542956472925426,0.671875,0.0,1.0
development,salience_residual,1,1,0.00390625,83,0.9999999999999996,0.05748671562817653,0.19439652711210587,0.013438304855099895,0.057732974614485344,0.53125,0.12089964717473711,1.0
development,uniform_residual,1,1,0.00390625,83,0.9999999999999996,0.05748671562817653,0.19439652711210587,0.013438304855099895,0.057732974614485344,0.53125,0.12089964717473711,1.0
development,random_residual,1,1,0.00390625,59,2.2887355810536705,0.09317968776635992,0.3387826005539465,0.3457823964769724,0.4548408657058106,0.0,0.1962433145194437,1.0
development,salience_raw,1,1,0.00390625,85,0.9999999999999998,0.056350739169783545,0.18071395884178076,0.027464126869113474,0.057883998656390934,0.25,0.1565702967945487,1.0
development,anchor_gated_residual,2,2,0.0078125,83 211,0.0,0.038735990832224336,0.1046777030427892,0.0025734367620822932,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,2,2,0.0078125,83 211,1.08779984193538,0.03887177227523399,0.13252597389012383,0.0029699856636323033,0.0463415888622386,0.828125,0.08519438568257787,1.0
development,uniform_residual,2,2,0.0078125,83 211,1.08779984193538,0.03887177227523399,0.13252597389012383,0.0029699856636323033,0.0463415888622386,0.828125,0.08519438568257787,1.0
development,random_residual,2,2,0.0078125,59 216,27.59651949001492,0.0743594138388392,0.26016463229381914,0.07078486795036888,0.4548408657058106,0.28125,0.208002901185796,1.0
development,salience_raw,2,2,0.0078125,85 246,1.3627599262347112,0.05471580586543218,0.16064397538265052,0.027073192489974734,0.08330463819257106,0.09375,0.06941149247706235,1.0
development,anchor_gated_residual,3,3,0.01171875,83 211 246,0.0,0.031418269171521934,0.06646422581679255,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,3,3,0.01171875,83 211 246,1.3124098019995145,0.0384476436498741,0.10928023817768698,0.008425839522871159,0.05058331427427054,0.6875,0.030548836846749916,1.0
development,uniform_residual,3,3,0.01171875,83 211 246,1.3124098019995145,0.0384476436498741,0.10928023817768698,0.008425839522871159,0.05058331427427054,0.6875,0.030548836846749916,1.0
development,random_residual,3,3,0.01171875,59 120 216,12.569808116560923,0.054120156968605705,0.1720978812132528,0.027464126869113474,0.057883998656390934,0.25,0.13901449588079517,1.0
development,salience_raw,3,3,0.01171875,85 246 197,1.6502408038801037,0.04331413582267305,0.10746723620040459,0.015122398566111915,0.08330463819257106,0.703125,0.07152039112370834,1.0
development,anchor_gated_residual,4,4,0.015625,83 211 246 23,0.0,0.031418269171521934,0.06646422581679254,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,4,4,0.015625,83 211 246 23,2.5125440306574487,0.03316821098570764,0.09256963688670919,0.002245898337659825,0.036552631736270325,0.84375,0.021214587475451685,1.0
development,uniform_residual,4,4,0.015625,83 211 246 23,2.5125440306574487,0.03316821098570764,0.09256963688670919,0.002245898337659825,0.036552631736270325,0.84375,0.021214587475451685,1.0
development,random_residual,4,4,0.015625,59 120 164 216,31.453576183766817,0.11796263694151549,0.2932095729906693,0.10350366847159292,0.40053276506501967,0.34375,0.05342936637946083,1.0
development,salience_raw,4,4,0.015625,85 246 197 249,1.8571722476894539,0.03856278420298443,0.08988181851498542,0.005597161746205028,0.06778482590883472,0.75,0.018946653928914925,1.0
development,anchor_gated_residual,6,6,0.0234375,83 211 246 23 78 215,0.0,0.03141826917152194,0.06646422581679255,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,6,6,0.0234375,83 211 246 23 78 215,2.817986353499229,0.0320032811855742,0.08335224895709499,0.00224996561900722,0.036552631736270325,0.84375,0.011742036455851035,1.0
development,uniform_residual,6,6,0.0234375,83 211 246 23 78 215,2.817986353499229,0.0320032811855742,0.08335224895709499,0.00224996561900722,0.036552631736270325,0.84375,0.011742036455851035,1.0
development,random_residual,6,6,0.0234375,59 120 153 164 192 216,23.739773912992074,0.02734509094016228,0.11607010644233122,0.021561118714224704,0.19925975654027395,0.734375,0.038631620951152135,1.0
development,salience_raw,6,6,0.0234375,85 246 197 249 215 218,2.420186302457728,0.03395274658026636,0.07748543763474439,0.01425655846934003,0.07738304318679667,0.71875,0.0031915254065841836,1.0
development,anchor_gated_residual,8,8,0.03125,83 211 246 23 78 215 190 234,0.0,0.03108302097425215,0.06663223973047626,0.002245898337659825,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,8,8,0.03125,83 211 246 23 78 215 190 234,2.9705506418250995,0.019840854347441934,0.058055846697053784,0.003041856300096518,0.0463415888622386,0.828125,0.004475566198065328,1.0
development,uniform_residual,8,8,0.03125,83 211 246 23 78 215 190 234,2.9705506418250995,0.019840854347441934,0.058055846697053784,0.003041856300096518,0.0463415888622386,0.828125,0.004475566198065328,1.0
development,random_residual,8,8,0.03125,39 59 120 153 164 192 216 227,25.229627863472867,0.022717024316066793,0.07410038084588993,0.0036830527604655144,0.0463415888622386,0.75,0.015023804714858757,1.0
development,salience_raw,8,8,0.03125,85 246 197 249 215 218 206 227,3.272127027457978,0.025051047434001047,0.06376765081038185,0.00646705593555418,0.0463415888622386,0.609375,0.0029144909067364555,1.0
development,anchor_gated_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,0.0,0.030927444148872895,0.0713997886736022,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,4.0140415250479835,0.019039959086684467,0.05181911496642161,0.004833716767683389,0.0463415888622386,0.671875,0.0022124087645437607,1.0
development,uniform_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,4.0140415250479835,0.019039959086684467,0.05181911496642161,0.004833716767683389,0.0463415888622386,0.671875,0.0022124087645437607,1.0
development,random_residual,12,12,0.046875,39 59 92 103 120 153 160 164 192 216 222 227,53.72867615367972,0.04028878853238723,0.10438525923389402,0.01792746060750225,0.14717234767037846,0.6875,0.006396699594168664,1.0
development,salience_raw,12,12,0.046875,85 246 197 249 215 218 206 227 253 118 170 87,5.533490522683264,0.02526810727316852,0.057679329311811245,0.0037705957830155516,0.0766514463767678,0.8125,0.0028084473180415293,1.0
development,anchor_gated_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,0.0,0.03141826917152194,0.06646422581679252,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,5.043022957752281,0.01803927477029382,0.0386837976878764,0.004228651327149094,0.0463415888622386,0.734375,0.0006414107975443173,1.0
development,uniform_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,5.043022957752281,0.01803927477029382,0.0386837976878764,0.004228651327149094,0.0463415888622386,0.734375,0.0006414107975443173,1.0
development,random_residual,16,16,0.0625,17 39 59 74 92 103 120 143 153 160 164 192 212 216 222 227,134.08658095926202,0.03400092169709356,0.08565544267184977,0.003755483652749655,0.04035525885227553,0.71875,0.005904236554812536,1.0
development,salience_raw,16,16,0.0625,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126,5.661272093874886,0.025273631090226532,0.05218261760911313,0.004294164146539934,0.020729339673088654,0.671875,0.0008784871936531324,1.0
development,anchor_gated_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,0.0,0.03141826917152194,0.06646422581679252,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,salience_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,9.244691030291818,0.021240339864732914,0.05238978959840955,0.004068386263501532,0.04035525885227553,0.84375,1.3717328254170269e-05,1.0
development,uniform_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,9.244691030291818,0.021240339864732914,0.05238978959840955,0.004068386263501532,0.04035525885227553,0.84375,1.3717328254170269e-05,1.0
development,random_residual,24,24,0.09375,8 17 33 39 59 74 79 80 89 92 103 120 143 153 160 164 192 210 212 213 216 222 227 246,735.180894316871,0.08699853870996638,0.24340304130769208,0.10729471750041303,0.36840007187285656,0.5625,8.125383829415966e-05,1.0
